donor,recipient,commitment_amount_usd_constant,coalesced_purpose_name
France,Thailand,1265108,Higher education
France,Thailand,1744018,Environmental policy and administrative management
France,Thailand,1744018,Infectious & Parasitic disease control
France,Thailand,1744018,STD control including HIV/AIDS
France,Thailand,51283,Public sector policy and adm. management
France,Thailand,68935,Higher education
France,Thailand,68935,Environmental research
France,Thailand,68935,Promotion of development awareness
France,Thailand,1121628,Social/ welfare services
France,Thailand,1498277,Administrative costs
France,Thailand,658343,Economic and development policy/planning
France,Thailand,658343,Agricultural land resources
France,Thailand,658343,Agricultural water resources
France,Thailand,1282,Agricultural development
France,Thailand,712,Education policy and administrative management
France,Thailand,4181,Security system management and reform
France,Thailand,1424,Culture and recreation
France,Thailand,4866397,Higher education
France,Thailand,302436,Multisector aid
France,Thailand,24729,Public sector financial management
France,Thailand,128165,Infectious & Parasitic disease control
France,Thailand,4272,Population policy and administrative management
France,Thailand,1347904,Agricultural research
France,Thailand,193711,Primary education
France,Thailand,614291,Multisector education/training
France,Thailand,1424,Multisector aid
Germany,Brazil,135538,Rural development
Germany,Brazil,8276,Higher education
Italy,Brazil,28268,Social/ welfare services
Italy,Brazil,81703,Social/ welfare services
Italy,India,212013,Basic life skills for youth and adults
Italy,India,18798,Basic health infrastructure
Italy,India,59364,Basic health infrastructure
Italy,India,17470,Education facilities and training
Italy,India,14134,Education facilities and training
Italy,India,7977,Vocational training
Italy,Brazil,65602,Vocational training
Germany,South Africa,423648,Social/ welfare services
Germany,South Africa,235293,Advanced technical and managerial training
Italy,India,68534,Education facilities and training
Germany,South Africa,169770,Vocational training
Germany,South Africa,9620,Education policy and administrative management
Germany,South Africa,35369,"Agricultural services, purpose"
Germany,South Africa,9366,Economic and development policy/planning
Germany,South Africa,122951,Economic and development policy/planning
Germany,South Africa,9439,Economic and development policy/planning
Germany,South Africa,27131,Economic and development policy/planning
Germany,South Africa,93172,Economic and development policy/planning
Germany,South Africa,111136,Economic and development policy/planning
Germany,South Africa,27729,Higher education
Germany,South Africa,6648,Government administration
Germany,South Africa,23382,Business support services and institutions
Germany,South Africa,29489,Primary education
Germany,South Africa,25219,Strengthening civil society
Germany,South Africa,9903275,Rural development
Germany,South Africa,282951,Strengthening civil society
Germany,South Africa,672008,"Civilian peace-building, conflict prevention and resolution"
Germany,South Africa,17317,Education policy and administrative management
Germany,South Africa,118070,Government administration
Germany,South Africa,34779,Power generation/renewable sources
Italy,Brazil,82476,Social/ welfare services
Germany,South Africa,304172,Strengthening civil society
Germany,South Africa,353688,Strengthening civil society
Germany,South Africa,4491,Higher education
Germany,South Africa,328794,Trade policy and administrative management
Germany,South Africa,240508,Strengthening civil society
Germany,South Africa,17995,Multisector aid
Germany,South Africa,34444,Higher education
Germany,South Africa,14148,Social/ welfare services
Germany,South Africa,169770,Economic and development policy/planning
Germany,South Africa,216856,Education facilities and training
Germany,South Africa,322619,Support to local and regional NGOs
Italy,Brazil,98939,Social/ welfare services
Germany,South Africa,721524,Strengthening civil society
Germany,South Africa,483846,Strengthening civil society
Germany,South Africa,304172,Housing policy and administrative management
Germany,South Africa,707375,Housing policy and administrative management
Germany,South Africa,11672,Agricultural development
Germany,South Africa,466869,"Civilian peace-building, conflict prevention and resolution"
Germany,South Africa,6366391,"Civilian peace-building, conflict prevention and resolution"
Germany,South Africa,1075213,"Civilian peace-building, conflict prevention and resolution"
Germany,South Africa,254656,Strengthening civil society
Germany,South Africa,450233,Higher education
Germany,South Africa,2411,Basic drinking water supply and basic sanitation
Germany,South Africa,1066303,Education facilities and training
Germany,South Africa,192780,Education facilities and training
Germany,South Africa,65389,Education facilities and training
Germany,South Africa,21221,Teacher training
Germany,South Africa,220702,STD control including HIV/AIDS
Germany,South Africa,189577,Social/ welfare services
Germany,South Africa,245180,Education facilities and training
Germany,South Africa,11122,Research/scientific institutions
Germany,South Africa,723,Power generation/renewable sources
Germany,South Africa,44565,Social/ welfare services
Germany,South Africa,5523,Promotion of development awareness
Germany,South Africa,2991485,Education policy and administrative management
Germany,South Africa,9903,Promotion of development awareness
Germany,South Africa,250381,Strengthening civil society
Germany,South Africa,166247,Strengthening civil society
Germany,South Africa,14430,Education policy and administrative management
Germany,South Africa,11796,Strengthening civil society
Germany,South Africa,82537,Multisector aid
Germany,South Africa,70738,"Civilian peace-building, conflict prevention and resolution"
Germany,South Africa,363197,STD control including HIV/AIDS
Germany,South Africa,13958,Business support services & institutions
Germany,South Africa,141475,Strengthening civil society
Germany,South Africa,3514,Education policy and administrative management
Germany,South Africa,111136,Economic and development policy/planning
Germany,South Africa,60847,Sectors not specified
Germany,South Africa,6720,Promotion of development awareness
Germany,South Africa,138540,Vocational training
Germany,South Africa,282951,Relief co-ordination; protection and support services
Germany,South Africa,105979,Medical research
Germany,South Africa,448616,Education facilities and training
Germany,South Africa,28313,Multisector aid
Germany,South Africa,56418,Social/ welfare services
Germany,South Africa,121669,Social/ welfare services
Germany,South Africa,11769,Std control including hiv/aids
Germany,South Africa,106107,Personnel dvpt: pop. & repro health
Germany,South Africa,4075,Higher education
Germany,South Africa,226361,Basic drinking water supply and basic sanitation
Germany,South Africa,64193,Basic drinking water supply and basic sanitation
Germany,South Africa,111136,Economic and development policy/planning
Germany,South Africa,4639268,Teacher training
Germany,South Africa,141730,Economic and development policy/planning
Germany,South Africa,153131,Economic and development policy/planning
Germany,South Africa,157722,Economic and development policy/planning
Germany,South Africa,203699,Economic and development policy/planning
Germany,South Africa,222272,Economic and development policy/planning
Germany,South Africa,242043,Economic and development policy/planning
Germany,South Africa,291975,Economic and development policy/planning
Germany,South Africa,367162,Economic and development policy/planning
Germany,South Africa,53336,Basic drinking water supply and basic sanitation
Germany,South Africa,25961,Multisector aid
Germany,South Africa,20429,Education policy and administrative management
Germany,South Africa,5355,Multisector aid
Germany,South Africa,55939,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes"
Germany,South Africa,664934,Social/ welfare services
Germany,South Africa,134402,Strengthening civil society
Germany,South Africa,211654,Water resources policy and administrative management
Germany,South Africa,74598,STD control including HIV/AIDS
Germany,South Africa,137303,Water resources policy and administrative management
Germany,South Africa,523459,Environmental policy and administrative management
Germany,South Africa,21646,Social/ welfare services
Germany,South Africa,24139,Agricultural development
Germany,South Africa,24139,Agricultural development
Germany,South Africa,24139,Agricultural development
Germany,South Africa,3749,Strengthening civil society
Germany,South Africa,25491,Business support services and institutions
Germany,South Africa,7317,Advanced tech. & managerial training
Germany,South Africa,16694,Secondary education
Germany,South Africa,27304,Secondary education
Germany,South Africa,13958,Sme development
Germany,South Africa,4527,Secondary education
Germany,South Africa,27575,Legal and judicial development
Germany,South Africa,35369,Social/ welfare services
Germany,South Africa,21228,Multisector aid
Germany,South Africa,282951,Informal/semi-formal financial intermediaries
Germany,South Africa,4244261,Social/ welfare services
Germany,South Africa,353688,Agricultural development
Germany,South Africa,607550,Support to international NGOs
Germany,South Africa,128666,Energy policy and administrative management
Germany,South Africa,88974,Vocational training
Germany,South Africa,34779,Power generation/renewable sources
Germany,South Africa,339541,Vocational training
Germany,South Africa,8701,STD control including HIV/AIDS
Germany,South Africa,38609,STD control including HIV/AIDS
Germany,South Africa,9761799,STD control including HIV/AIDS
Germany,South Africa,90014,Research/scientific institutions
Germany,South Africa,9153,Bio-diversity
Germany,South Africa,85137,Government administration
Germany,South Africa,145656,Higher education
Germany,South Africa,111136,Strengthening civil society
Germany,South Africa,111136,Strengthening civil society
Germany,South Africa,2078471,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes"
Germany,Thailand,34769,Higher education
Germany,South Africa,693229,Urban development and management
Germany,South Africa,14148,Early childhood education
Germany,South Africa,72541,Sectors not specified
Germany,South Africa,3394,Advanced tech. & managerial training
Germany,South Africa,9727,Education facilities and training
Germany,South Africa,1145444,Urban development and management
Germany,South Africa,13629,Social/ welfare services
Germany,South Africa,4244261,Rural development
Germany,South Africa,41546,Legal and judicial development
Germany,South Africa,1834711,Research/scientific institutions
Germany,South Africa,21282,Primary education
Germany,South Africa,12733,Vocational training
Germany,South Africa,120633,Education policy and administrative management
Germany,South Africa,64550,STD control including HIV/AIDS
Germany,South Africa,97434,STD control including HIV/AIDS
Germany,South Africa,147592,Higher education
Germany,South Africa,17709,Higher education
Germany,South Africa,1558840,Sectors not specified
Germany,South Africa,226361,Strengthening civil society
Germany,South Africa,353688,Strengthening civil society
Germany,South Africa,9528,Democratic participation and civil society
Germany,South Africa,5390,Business support services and institutions
Germany,South Africa,403621,Business support services and institutions
Germany,South Africa,242368,STD control including HIV/AIDS
Germany,South Africa,29356,STD control including HIV/AIDS
Germany,South Africa,2830,STD control including HIV/AIDS
Germany,South Africa,138558,Information and communication technology
Germany,South Africa,353688,Basic life skills for youth and adults
Germany,South Africa,92780,Vocational training
Germany,South Africa,152167,Multisector aid
Germany,South Africa,4813,Health policy and administrative management
Germany,South Africa,1061,Promotion of development awareness
Germany,South Africa,495164,Strengthening civil society
Germany,South Africa,7074,Research/scientific institutions
Germany,South Africa,3656572,Environmental policy and administrative management
Germany,South Africa,16128,Social/ welfare services
Germany,South Africa,35369,Social/ welfare services
Germany,South Africa,49870,Environmental policy and admin. mgmt
Germany,South Africa,396131,Post-conflict peace-building (UN)
Germany,South Africa,38722,Bio-diversity
Germany,South Africa,15845,Social/ welfare services
Germany,South Africa,247582,Social/ welfare services
Germany,South Africa,85513,Multisector education/training
Germany,South Africa,91676,Advanced tech. & managerial training
Germany,South Africa,56590,Higher education
Germany,South Africa,359098,Education facilities and training
Germany,South Africa,905462,Support to national NGOs
Germany,South Africa,20627865,Sectors not specified
Germany,Colombia,4417,Higher education
Italy,India,138986,Health personnel development
United Kingdom,Brazil,162828,Forestry policy and administrative management
Switzerland,Colombia,277190,Administrative costs
Italy,Brazil,282684,Social/ welfare services
Germany,Thailand,12521,Higher education
Italy,Brazil,106006,Strengthening civil society
Italy,Brazil,282684,Housing policy and administrative management
Switzerland,India,917153,Multisector aid
Italy,Brazil,9894,Road transport
Italy,Brazil,10555,Vocational training
Norway,India,43703,Industrial development
United Kingdom,India,14887,Elections
United Kingdom,India,106122,Energy policy and admin. management
Italy,Colombia,9894,Vocational training
United Kingdom,India,113548,Energy policy and admin. management
Germany,Brazil,707377,Multisector aid
Germany,Brazil,135538,Rural development
Germany,Brazil,16466,Multisector education/training
Germany,Brazil,135538,Strengthening civil society
Germany,Brazil,2122,Higher education
Germany,Brazil,318320,Social/ welfare services
Germany,Brazil,113172,Higher education
Germany,Brazil,6253,Business support services and institutions
Germany,Brazil,3537,Environmental policy and admin. mgmt
Germany,Brazil,29130,Higher education
Germany,Brazil,129596,Strengthening civil society
Germany,Brazil,135538,Strengthening civil society
Germany,Brazil,135538,Strengthening civil society
Germany,Brazil,135538,Strengthening civil society
Germany,Brazil,135538,Urban development and management
Germany,Brazil,8436,Economic and development policy/planning
Germany,Brazil,220277,Social/ welfare services
Germany,Brazil,7074,Vocational training
Germany,Brazil,566,Vocational training
Germany,Brazil,1132,Vocational training
Germany,Brazil,141941091,Power generation/renewable sources
Germany,Brazil,165526,Strengthening civil society
Germany,Brazil,81556,Education and training in water supply and sanitation
United Kingdom,Brazil,12942,Power generation/renewable sources
Germany,Brazil,172600,Strengthening civil society
Germany,Brazil,15562,Vocational training
Germany,Brazil,17189,Vocational training
Germany,Brazil,4527,Higher education
Germany,Brazil,390,Higher education
Germany,Brazil,247582,Strengthening civil society
Germany,Brazil,325393,Strengthening civil society
Germany,Brazil,2522506,Agricultural development
Germany,Brazil,1497,Anti-corruption organisations and institutions
Germany,Brazil,89811,Multisector education/training
Germany,Brazil,557245,Technological research and development
Germany,Brazil,7565,Multisector education/training
Germany,Brazil,141475,Strengthening civil society
Germany,Brazil,499408,Strengthening civil society
Germany,Brazil,721524,Basic life skills for youth and adults
Germany,Brazil,136178,Education facilities and training
Germany,Brazil,5659014,Energy policy and administrative management
Germany,Brazil,261729,Strengthening civil society
Germany,Brazil,325393,Agricultural land resources
Germany,Brazil,42031,Advanced tech. & managerial training
Germany,Brazil,54093,Business support services and institutions
Germany,Brazil,205139,Agricultural development
Germany,Brazil,495164,Employment policy and administrative management
Germany,Brazil,417352,Employment policy and administrative management
Germany,Brazil,203725,Employment policy and administrative management
Germany,Brazil,33689,Social/ welfare services
Germany,Brazil,3441,Social/ welfare services
Germany,Brazil,304172,Strengthening civil society
Germany,Brazil,73171,Education policy and administrative management
Germany,Brazil,53053,Social/ welfare services
Germany,Brazil,28121,Legal and judicial development
Germany,Brazil,53053,Basic nutrition
Germany,Brazil,198065,"Civilian peace-building, conflict prevention and resolution"
Germany,Brazil,4244,Social/ welfare services
Germany,Brazil,5235,Multisector aid
Germany,Brazil,219287,Rural development
Germany,Brazil,304172,Rural development
Germany,Brazil,11318028,Bio-diversity
Germany,Brazil,481016,Bio-diversity
Germany,Brazil,254656,Bio-diversity
Germany,Brazil,5659014,Bio-diversity
Germany,Brazil,91535,Bio-diversity
Germany,Brazil,353688,Agricultural development
Germany,Brazil,183918,Agricultural development
Germany,Brazil,261729,Higher education
Germany,Brazil,17317794,Higher education
Germany,Brazil,14148,Teacher training
Germany,Brazil,78723,Strengthening civil society
Germany,Brazil,61642,Strengthening civil society
Germany,Brazil,14148,Forestry education/training
Germany,Brazil,77732,Advanced technical and managerial training
Germany,Brazil,120055,Government administration
Germany,Brazil,1497,Anti-corruption organisations and institutions
Germany,Brazil,13283,Advanced tech. & managerial training
Germany,Brazil,536677,Higher education
Germany,Brazil,261729,Agricultural development
Germany,Brazil,198065,Agricultural development
Germany,Brazil,912233,Business support services and institutions
Germany,Brazil,212213,Environmental education/ training
Germany,Brazil,353688,Agricultural development
Germany,Brazil,2348,Environmental research
Germany,Brazil,83654,Environmental research
Germany,Brazil,46180,Strengthening civil society
Germany,Brazil,167705,Tourism policy and administrative management
Germany,Brazil,3954949,Teacher training
Germany,Brazil,4367227,Education facilities and training
Germany,Brazil,4244261,Environmental policy and administrative management
Germany,Brazil,7624,Strengthening civil society
Germany,Brazil,966376,Education facilities and training
Germany,Brazil,383962,Agricultural development
Germany,Brazil,229084,Education policy and administrative management
Germany,Brazil,46180,Strengthening civil society
Germany,Brazil,33420,Strengthening civil society
Germany,Brazil,290024,Strengthening civil society
Germany,Brazil,24314,Strengthening civil society
Germany,Brazil,55122,Strengthening civil society
Germany,Brazil,594196,Strengthening civil society
Germany,Brazil,45303,Forestry development
Germany,Brazil,763967,Education policy and administrative management
Germany,Brazil,282951,Material relief assistance and services
Germany,Brazil,5550,Education policy and administrative management
Germany,Brazil,47154,Agricultural research
Germany,Brazil,2844,Agricultural research
Germany,Brazil,113180,"Agricultural services, purpose"
Germany,Brazil,141475,Rural development
Germany,Brazil,84643,Multisector education/training
Germany,Brazil,141475,Health policy and administrative management
Germany,Brazil,2264,Higher education
Germany,Brazil,23541,Higher education
Germany,Brazil,101622,Small and medium-sized enterprises (SME) development
Germany,Brazil,181088,Strengthening civil society
Germany,Brazil,353688,Strengthening civil society
Germany,Brazil,16466,Financial policy and administrative management
Germany,Brazil,193821,Strengthening civil society
Germany,Brazil,5128,Education facilities and training
Germany,Brazil,24918,Higher education
Germany,Brazil,790,Higher education
Germany,Brazil,8489,Education policy and administrative management
Germany,Brazil,23591,Democratic participation and civil society
Germany,Brazil,16466,Financial policy and administrative management
Germany,Brazil,6676,Higher education
Germany,Brazil,87947,Sectors not specified
Germany,Brazil,13958,Sme development
Germany,Brazil,2728993,Water supply and sanitation - large systems
Germany,Brazil,146157,Industrial policy and administrative management
Germany,Brazil,185487,Strengthening civil society
Germany,Brazil,203864,Strengthening civil society
Germany,Brazil,3678,Strengthening civil society
Germany,Brazil,448023,Support to international NGOs
Germany,Brazil,1082578,Strengthening civil society
Germany,Brazil,1499639,Strengthening civil society
Germany,Brazil,290024,Legal and judicial development
Germany,Brazil,325393,Multisector aid for social services
Germany,Brazil,28154,Multisector aid for social services
Germany,Brazil,169770,Strengthening civil society
Germany,Brazil,57535,Power generation/renewable sources
Germany,Brazil,182697,Rural development
Germany,Brazil,48130,Social/ welfare services
Germany,Brazil,880953,Support to national NGOs
Germany,Brazil,4952,Higher education
Germany,Brazil,3469,Multisector aid
Germany,Brazil,159867,Agricultural development
Germany,Brazil,7357,Higher education
Germany,Brazil,1563303,Multisector aid for social services
Germany,Brazil,152793,Strengthening civil society
Germany,Brazil,13958,Business support services & institutions
Germany,Brazil,502238,Business support services and institutions
Germany,Brazil,454658,Research/scientific institutions
Germany,Brazil,219287,Strengthening civil society
Germany,Brazil,226361,Strengthening civil society
Germany,Brazil,147134,Multisector aid
Germany,Brazil,110351,STD control including HIV/AIDS
Germany,Brazil,21849,Water supply and sanitation - large systems
Germany,Brazil,15651,Economic and development policy/planning
Germany,Brazil,85805,Water supply and sanitation - large systems
Germany,Brazil,270218,Agricultural development
Germany,Brazil,250411,Agricultural development
Germany,Brazil,134402,Social/ welfare services
Germany,Brazil,735482,Power generation/renewable sources
Germany,Brazil,912102,Higher education
Germany,Brazil,53676,Strengthening civil society
Germany,Brazil,57764,Strengthening civil society
Germany,Brazil,339541,Strengthening civil society
Germany,Brazil,633943,Education facilities and training
Germany,Brazil,132021,Vocational training
Germany,Brazil,6778,Higher education
Germany,Brazil,357141,Education facilities and training
Germany,Brazil,3828,Social/ welfare services
Germany,Brazil,155623,Rural development
Germany,Brazil,135538,Economic and development policy/planning
Germany,Brazil,131572,Agricultural development
Germany,Brazil,5663,Higher education
Germany,Brazil,34555,Multisector education/training
Germany,Brazil,410279,Agricultural education/training
Germany,Brazil,3667,Research/scientific institutions
Germany,Brazil,3424,Higher education
Germany,Brazil,233434,Strengthening civil society
Germany,Brazil,14289,Culture and recreation
Germany,Brazil,20528,Social/ welfare services
Germany,Brazil,130157,Strengthening civil society
Germany,Brazil,94788,Strengthening civil society
Germany,Brazil,1414754,Strengthening civil society
Germany,Brazil,752196,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes"
Germany,Brazil,3843766,Education policy and administrative management
Germany,Brazil,282951,Social/ welfare services
Germany,Brazil,139919,Higher education
Germany,Brazil,4895,Higher education
Germany,Brazil,4187,Education facilities and training
Germany,Brazil,23768,Site preservation
Germany,Brazil,67212,Economic and development policy/planning
Germany,Brazil,27852,Economic and development policy/planning
Germany,Brazil,36944,Economic and development policy/planning
Germany,Brazil,4110,Multisector aid
Germany,Brazil,4951637,STD control including HIV/AIDS
Germany,Brazil,83633,Environmental research
Germany,Brazil,40104,Strengthening civil society
Germany,Brazil,11953,Environmental research
Germany,Brazil,43857,Strengthening civil society
Germany,Brazil,126424,Education facilities and training
Germany,Chile,6446,Formal sector financial intermediaries
Germany,Brazil,565901,STD control including HIV/AIDS
Germany,Brazil,135538,Environmental policy and admin. mgmt
Germany,Brazil,135538,Environmental policy and admin. mgmt
Germany,Brazil,95433,Forestry development
Germany,Brazil,353688,Agricultural education/training
Germany,Brazil,318744,Vocational training
Germany,Brazil,128111,Strengthening civil society
Germany,Brazil,173630,Government administration
Germany,Brazil,7565,Multisector education/training
Germany,Brazil,113661,Educational research
Germany,Chile,23308,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes"
Germany,Brazil,134402,Strengthening civil society
Germany,Brazil,282951,Strengthening civil society
Germany,Brazil,9903,Radio/television/print media
Germany,Brazil,622492,Power generation/renewable sources
Germany,Brazil,147134,Basic health care
Germany,Brazil,52968,Forestry development
Germany,Brazil,10531,Legal and judicial development
Germany,Brazil,70738,Strengthening civil society
Germany,Brazil,329638,Strengthening civil society
Germany,Brazil,580049,Strengthening civil society
Germany,Brazil,597,Education policy and administrative management
Germany,Brazil,120254,Agricultural development
Germany,Brazil,148549,Agricultural development
Germany,Brazil,212213,Strengthening civil society
Germany,Brazil,572975,Strengthening civil society
Germany,Brazil,432915,Strengthening civil society
Germany,Brazil,134634,Support to local and regional NGOs
Germany,Brazil,226361,Agricultural development
Germany,Brazil,112886,Business support services and institutions
Germany,Brazil,16934,Legal and judicial development
Germany,Brazil,35652,Advanced tech. & managerial training
Germany,Brazil,453,Advanced tech. & managerial training
Germany,Brazil,5044,Education facilities and training
Germany,Brazil,4681,Higher education
Germany,Brazil,7074,Research/scientific institutions
Germany,Brazil,135538,Strengthening civil society
Germany,Brazil,325393,Strengthening civil society
Germany,Chile,4864,Education facilities and training
Germany,Chile,15152,Strengthening civil society
Germany,Chile,17218,Power generation/renewable sources
Germany,Chile,22580,Legal and judicial development
Germany,Chile,11601,Social/ welfare services
Germany,Chile,55034,Education policy and administrative management
Germany,Chile,45216,Forestry development
Germany,Chile,56350,Forestry development
Germany,Chile,1879,Public sector financial management
Germany,Chile,11746,Higher education
Germany,Chile,28591,Sectors not specified
Germany,Chile,715,Education policy and administrative management
Germany,Chile,992874,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes"
Germany,Chile,5675,Multisector education/training
Germany,Chile,10918,Vocational training
Germany,Chile,12106,Sectors not specified
Germany,Chile,97371,Education facilities and training
Germany,Chile,1202,Education facilities and training
Germany,Chile,122450,Education facilities and training
Germany,Chile,2241,Government administration
Germany,Chile,512094,Education facilities and training
Germany,Chile,3326,Higher education
Germany,Chile,15651,Business support services & institutions
Germany,Chile,469159,Education policy and administrative management
Germany,Chile,14148,Higher education
Germany,Chile,89398,Power generation/renewable sources
Germany,Chile,4584,Energy education/training
Germany,Chile,37180,Energy education/training
Germany,Chile,16379,Research/scientific institutions
Germany,Chile,47445,Industrial policy and administrative management
Germany,Chile,111369,Forestry development
Germany,Chile,7238,Formal sector financial intermediaries
Germany,Chile,447209,Education facilities and training
Germany,Chile,5678,Education facilities and training
Germany,Chile,316492,Sectors not specified
Germany,Chile,96713,Power generation/renewable sources
Germany,Chile,85975,Higher education
Germany,Chile,1879,Strengthening civil society
Germany,Chile,270,Higher education
Germany,Chile,56590,Higher education
Germany,Chile,30213,Social/ welfare services
Germany,Chile,106771,Tourism policy and administrative management
Germany,Chile,20674,Multisector education/training
Germany,Chile,2199292,Higher education
Germany,Chile,297857,Higher education
Germany,Chile,282951,Strengthening civil society
Germany,Chile,362177,Higher education
Germany,Chile,113180,Power generation/renewable sources
Germany,Chile,21971,Power generation/renewable sources
Germany,Chile,1995,Power generation/renewable sources
Germany,Chile,44890,Power generation/renewable sources
Germany,Chile,23727,Education policy and administrative management
Germany,Chile,76432,Social/ welfare services
Germany,Chile,5309285,Higher education
Germany,Chile,508647,Education facilities and training
Germany,Chile,2837006,Teacher training
Germany,Chile,4244261,Power generation/renewable sources
Germany,Chile,45979,Strengthening civil society
Germany,Chile,2244,Anti-corruption organisations and institutions
Germany,Chile,9295,Bio-diversity
Germany,Chile,192555,Higher education
Germany,Chile,2244,Anti-corruption organisations and institutions
Germany,Chile,2680,Advanced tech. & managerial training
Germany,Chile,2660,Health policy & admin. management
Germany,Chile,104253,Environmental policy and administrative management
Germany,Chile,8573,Environmental policy and administrative management
Germany,Chile,107196,Environmental policy and administrative management
Germany,Chile,20893,Research/scientific institutions
Germany,Chile,23258,Education policy and administrative management
Germany,Chile,2235,Bio-diversity
Germany,Chile,3395408,Waste management/disposal
Germany,Chile,74925,Business support services and institutions
Germany,Chile,3684,Advanced tech. & managerial training
Germany,Chile,11318,Education policy and administrative management
Germany,Chile,2025875,Environmental policy and administrative management
Germany,Chile,218156,Primary education
Germany,Chile,3455,Democratic participation and civil society
Germany,Chile,93232,Energy policy and administrative management
Germany,Chile,5675,Multisector education/training
Germany,Colombia,230527,Sectors not specified
Germany,Chile,20500,Health policy & admin. management
Germany,Chile,102414,Health policy & admin. management
Germany,Chile,1879,Economic and development policy/planning
Germany,Chile,4244,Vocational training
Germany,Chile,707,Vocational training
Germany,Chile,1001967,Education facilities and training
Germany,Chile,11290,Environmental policy and administrative management
Germany,Chile,82961,Environmental policy and administrative management
Germany,Chile,11532,Business support services and institutions
Germany,Chile,86109,Higher education
Germany,Colombia,26040,Multisector education/training
Germany,Colombia,52153,Higher education
Germany,Colombia,1131,Formal sector financial intermediaries
Germany,Colombia,2129,Teacher training
Germany,Colombia,495164,Relief co-ordination; protection and support services
Germany,Colombia,707377,Strengthening civil society
Germany,Colombia,7244,Human rights
Germany,Colombia,165526,Strengthening civil society
Germany,Colombia,166941,Strengthening civil society
Germany,Colombia,99033,Social/ welfare services
Germany,Colombia,9748,Bio-diversity
Germany,Colombia,46998,Bio-diversity
Germany,Colombia,282951,Material relief assistance and services
Germany,Colombia,222116,"Civilian peace-building, conflict prevention and resolution"
Germany,Colombia,152390,Flood prevention/control
Germany,Colombia,429772,Environmental education/training
Germany,Colombia,608704,Education facilities and training
Germany,Colombia,5489,Education policy and administrative management
Germany,Colombia,217872,Agricultural development
Germany,Colombia,120254,Agricultural development
Germany,Colombia,210798,Agricultural development
Germany,Colombia,7756,Research/scientific institutions
Germany,Colombia,206708,Higher education
Germany,Colombia,2871950,"Civilian peace-building, conflict prevention and resolution"
Germany,Colombia,14176,Advanced tech. & managerial training
United Kingdom,India,46082,Energy policy and admin. management
Germany,Colombia,3350,Education facilities and training
Germany,Colombia,620621,Education facilities and training
Germany,Colombia,1131803,Material relief assistance and services
Germany,Colombia,16697,Multisector aid
Germany,Colombia,2491068,Teacher training
Germany,Colombia,10113,Economic and development policy/planning
Germany,Colombia,858498,Education facilities and training
Germany,Colombia,11246862,Higher education
Germany,Colombia,199480,Strengthening civil society
Germany,Colombia,4951637,Forestry development
Germany,Colombia,10384,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes"
Germany,Colombia,131363,Education policy and administrative management
Germany,Colombia,11771,Higher education
Germany,Colombia,4205,Energy policy and administrative management
Germany,Colombia,4205,Energy policy and administrative management
Germany,Colombia,707377,Emergency food aid
Germany,Colombia,158452,Strengthening civil society
Germany,Colombia,190992,Strengthening civil society
Germany,Colombia,5970,Higher education
Germany,Colombia,8460,Democratic participation and civil society
Germany,Colombia,424,Higher education
Germany,Colombia,733727,Emergency food aid
Germany,Colombia,152341,Basic health care
Germany,Colombia,571974,Vocational training
Germany,Colombia,1368,Primary education
Germany,Colombia,2989549,Higher education
Germany,Colombia,239093,Strengthening civil society
Germany,Colombia,2264,Higher education
Germany,Colombia,44207,Social/ welfare services
Germany,Colombia,61208,Social/ welfare services
Germany,Colombia,25233,Educational research
Germany,Colombia,513685,Legal and judicial development
Germany,Colombia,236547,Education facilities and training
Germany,Colombia,17826,Economic and development policy/planning
Germany,Colombia,350859,Strengthening civil society
Germany,Colombia,19682,Higher education
Germany,Colombia,11356,Education facilities and training
Germany,Colombia,806410,Post-conflict peace-building (UN)
Germany,Colombia,2122130,Material relief assistance and services
Germany,Colombia,9903275,"Civilian peace-building, conflict prevention and resolution"
Germany,Colombia,43603,"Civilian peace-building, conflict prevention and resolution"
Germany,Colombia,273553,Education facilities and training
Germany,Colombia,130243,Social/ welfare services
Germany,Colombia,70738,Land mine clearance
Germany,Colombia,33838,Industrial policy and administrative management
Germany,Colombia,8644,Vocational training
Germany,Colombia,62914,Agricultural development
Germany,Colombia,514660,Research/scientific institutions
Germany,Colombia,810258,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes"
Germany,Colombia,91959,Strengthening civil society
Germany,Colombia,199480,Strengthening civil society
Germany,Colombia,134402,Strengthening civil society
Germany,Colombia,144305,Strengthening civil society
Germany,Colombia,21221,Culture and recreation
Germany,Colombia,174349,Education policy and administrative management
Germany,Colombia,33300,Business support services & institutions
Germany,Colombia,52698,Business support services & institutions
Germany,Colombia,47253,Higher education
Germany,Colombia,236264,Legal and judicial development
Germany,Colombia,176388,Education facilities and training
Germany,Colombia,444,Education facilities and training
Germany,Colombia,65349,Education facilities and training
Germany,Colombia,212213,Strengthening civil society
Germany,Colombia,11745,Support to national NGOs
Germany,Colombia,6338,Agricultural education/training
